date,language,type,title,by,overall,quality,repeatability
2024-11-15,Tamil,movie,Meiyazhagan,"Arvind Swamy, Karthi",4.0,5.0,1
2024-11-10,Tamil,movie,Vettaiyan,"Rajnikanth, Fahad Fazil",2.0,2.0,1
2024-11-09,Tamil,movie,Amaran,"Siva Karthikeyan, Sai Pallavi",4.0,4.0,1
2024-10-11,Telugu,movie,Kushi,"Vijay Devarakonda, Samantha",3.0,3.0,1
2024-10-05,Tamil,movie,GOAT,Vijay,3.0,3.0,1
2024-10-02,Telugu,movie,Sanivaaram Saripodhaa,"Nani, SJ Surya",3.0,3.0,1
2024-10-01,Tamil,movie,Saba Nayagan,Ashok Selvan,3.0,3.0,2
2024-09-30,English,movie,Dune: Part Two,"Timothée Chalamet, Zendaya",3.0,4.0,1
2024-09-10,English,movie,Spencer Confidential,Mark Wahlberg,3.0,3.0,1
2024-09-07,English,movie,Gemini Man,Will Smith,3.0,3.0,1
2024-09-05,Tamil,movie,Arul,"Vikram, Jyothika, KS Ravikumar",3.0,3.0,2
2024-08-26,Tamil,movie,Raayan,Dhanush,3.0,4.0,1
2024-08-25,Hindi,movie,Lapata Ladies,Unknown,4.0,4.0,1
2024-08-03,Spanish,movie,Non Negotiable,Unknown,3.0,3.0,1
2024-07-21,Japanese,series,Attack on Titan,Unknown,5.0,5.0,2
2024-07-13,Tamil,movie,Maharaja,Vijay Sethupathi,4.0,5.0,1
2024-07-13,Tamil,movie,Vikram,"Kamal Hassan, Fahaad Fazil, Vijay Sethupathi",3.0,4.0,2
2024-07-09,Japanese,series,One Punch Man: Season 2,Unknown,4.0,4.0,2
2024-07-07,Japanese,series,One Punch Man: Season 1,Unknown,4.0,4.0,2
2024-06-29,Japanese,series,Code Geass: Season 2,Unknown,4.0,4.0,1
2024-06-26,Japanese,series,Code Geass: Season 1,Unknown,4.0,4.0,1
2024-06-22,Telugu,movie,Ramabanam,"Gopichand, Dimple Hayathi, Jagapathi Babu",2.0,2.0,1
2024-06-16,Telugu,movie,Padi Padi Leche Manasu,"Sharwanand, Sai Pallavi",3.0,3.0,1
2024-06-15,Hindi,movie,Meri Brother Ki Dulhan,"Imran Khan, Katrina Kaif",2.0,2.0,2
2024-06-14,Tamil,movie,Por Thozhil,"Sarath Kumar, Ashok Selvan",3.0,4.0,1
2024-06-14,English,movie,Madame Webb,Dakota Johnson,3.0,3.0,1
2024-05-26,Tamil,movie,Sigaram Thodu,"Vikram Prabhu, Sathyaraj",3.0,3.0,1
2024-05-21,Telugu,movie,Bhale Bhale Magadivoy,"Nani, Lavanya Tripathi",3.0,4.0,2
2024-05-16,Telugu,movie,Alludu Seenu,"Bellamkonda Sreenivas, Samantha, Prakash Raj",2.0,3.0,1
2024-05-04,Telugu,movie,Family Star,"Vijay Devarakonda, Mrinal Thakur",3.0,3.0,2
2024-05-01,Tamil,movie,Viswasam,"Ajith, Nayantara",4.0,4.0,3
2024-04-12,Hindi,movie,Rocky Aur Rani Ki Prem Kahani,"Ranveer Singh, Alia Bhatt, Jaya Bachchan",4.0,4.0,1
2024-04-10,Telugu,movie,Geeta Govindam,"Vijay Devarakonda, Rashmika",4.0,4.0,2
